iter	RMSE
0	1624.409173
1	1543.793326
2	1473.242341
3	1411.559042
4	1359.790602
5	1316.247597
6	1278.630389
7	1247.469649
8	1222.708513
9	1199.890376
10	1180.490814
11	1165.300018
12	1151.067823
13	1140.140508
14	1132.554621
15	1124.631509
16	1118.42587
17	1112.341977
18	1107.462404
19	1103.142782
20	1099.409734
21	1096.406508
22	1094.311911
23	1092.116689
24	1090.417242
25	1088.938129
26	1087.4988
27	1085.871986
28	1084.756268
29	1083.777815
30	1082.4052
31	1081.268777
32	1079.52627
33	1078.67113
34	1077.957379
35	1077.110238
36	1076.061208
37	1075.191626
38	1074.488655
39	1073.857159
40	1073.093097
41	1072.620908
42	1071.59748
43	1071.050015
44	1070.487376
45	1069.931686
46	1068.437628
47	1068.115655
48	1067.7475
49	1066.827991
