iter	Passed	Remaining
0	49	49870
1	52	26119
2	54	18091
3	56	14087
4	58	11700
5	60	10073
6	62	8931
7	65	8073
8	66	7339
9	68	6809
10	70	6370
11	73	6011
12	75	5695
13	76	5422
14	78	5181
15	80	4956
16	82	4749
17	83	4565
18	85	4401
19	86	4247
20	88	4106
21	89	3976
22	90	3857
23	92	3746
24	93	3645
25	94	3550
26	96	3463
27	97	3382
28	98	3307
29	100	3237
30	101	3172
31	102	3112
32	104	3055
33	105	3001
34	107	2953
35	108	2905
36	109	2860
37	111	2819
38	112	2778
39	114	2740
40	115	2703
41	116	2668
42	118	2634
43	119	2602
44	121	2571
45	122	2542
46	123	2513
47	125	2486
48	126	2459
49	128	2434
50	129	2409
51	130	2384
52	132	2361
53	133	2340
54	134	2319
55	136	2299
56	137	2279
57	139	2260
58	140	2241
59	141	2218
60	142	2201
61	143	2174
62	145	2159
63	146	2144
64	148	2130
65	149	2115
66	150	2101
67	152	2087
68	153	2072
69	155	2059
70	156	2046
71	157	2033
72	159	2021
73	160	2009
74	162	1998
75	162	1979
76	164	1968
77	165	1958
78	167	1947
79	168	1937
80	169	1926
81	171	1916
82	172	1906
83	173	1897
84	175	1888
85	176	1878
86	178	1869
87	179	1861
88	180	1852
89	182	1843
90	183	1835
91	185	1827
92	186	1819
93	188	1812
94	189	1804
95	190	1797
96	192	1789
97	193	1782
98	195	1775
99	196	1768
100	197	1761
101	199	1754
102	200	1747
103	201	1740
104	203	1732
105	204	1725
106	205	1718
107	207	1712
108	208	1705
109	209	1698
110	211	1692
111	212	1686
112	213	1679
113	215	1672
114	215	1662
115	217	1655
116	218	1650
117	220	1644
118	221	1638
119	222	1633
120	224	1627
121	225	1622
122	226	1617
123	228	1611
124	229	1606
125	230	1597
126	231	1591
127	232	1586
128	234	1582
129	235	1578
130	237	1573
131	238	1568
132	239	1564
133	241	1559
134	242	1554
135	244	1550
136	245	1545
137	246	1540
138	247	1536
139	249	1531
140	250	1526
141	251	1522
142	253	1517
143	254	1514
144	256	1509
145	257	1506
146	258	1501
147	260	1497
148	261	1493
149	262	1489
150	264	1485
151	265	1479
152	266	1476
153	268	1472
154	269	1468
155	270	1464
156	272	1461
157	273	1457
158	274	1453
159	276	1450
160	277	1447
161	279	1444
162	280	1441
163	282	1438
164	283	1435
165	284	1431
166	286	1428
167	287	1425
168	289	1422
169	290	1419
170	292	1416
171	293	1413
172	295	1410
173	296	1407
174	297	1404
175	299	1401
176	300	1398
177	302	1395
178	303	1392
179	305	1389
180	306	1386
181	307	1383
182	309	1380
183	310	1378
184	312	1375
185	313	1372
186	315	1369
187	316	1366
188	317	1364
189	319	1361
190	320	1359
191	322	1356
192	323	1353
193	325	1351
194	326	1348
195	328	1345
196	329	1343
197	330	1340
198	332	1337
199	333	1335
200	335	1332
201	336	1329
202	338	1327
203	339	1324
204	340	1322
205	342	1319
206	343	1317
207	345	1314
208	346	1312
209	348	1309
210	349	1307
211	351	1305
212	352	1302
213	353	1300
214	355	1297
215	356	1295
216	358	1292
217	359	1290
218	361	1287
219	362	1285
220	364	1283
221	365	1280
222	366	1278
223	368	1276
224	369	1273
225	371	1271
226	372	1268
227	374	1266
228	375	1264
229	376	1261
230	378	1259
231	379	1256
232	380	1254
233	382	1251
234	383	1248
235	385	1246
236	386	1243
237	387	1241
238	389	1238
239	390	1236
240	391	1233
241	393	1231
242	394	1229
243	395	1226
244	397	1224
245	398	1221
246	399	1219
247	401	1216
248	402	1214
249	403	1211
250	405	1209
251	406	1206
252	408	1204
253	409	1202
254	410	1200
255	412	1197
256	413	1195
257	414	1193
258	416	1191
259	417	1188
260	419	1186
261	420	1184
262	421	1181
263	423	1179
264	424	1177
265	425	1175
266	427	1172
267	428	1170
268	429	1168
269	431	1166
270	432	1164
271	434	1162
272	435	1160
273	437	1158
274	438	1155
275	439	1153
276	441	1151
277	442	1149
278	444	1147
279	445	1145
280	446	1143
281	448	1141
282	449	1139
283	451	1137
284	452	1135
285	454	1133
286	455	1131
287	457	1129
288	458	1127
289	459	1125
290	461	1123
291	462	1121
292	464	1120
293	465	1118
294	467	1116
295	468	1114
296	470	1112
297	471	1110
298	472	1108
299	474	1106
300	475	1104
301	477	1102
302	478	1101
303	480	1099
304	481	1097
305	482	1095
306	484	1093
307	485	1091
308	487	1089
309	488	1087
310	490	1085
311	491	1083
312	492	1082
313	494	1080
314	495	1078
315	497	1076
316	498	1074
317	500	1072
318	501	1070
319	503	1068
320	504	1067
321	505	1065
322	507	1063
323	508	1061
324	510	1059
325	511	1057
326	513	1055
327	514	1053
328	515	1052
329	517	1050
330	518	1048
331	520	1046
332	521	1044
333	523	1043
334	525	1042
335	526	1040
336	527	1038
337	529	1036
338	530	1034
339	532	1033
340	533	1031
341	535	1029
342	536	1027
343	537	1025
344	539	1024
345	540	1022
346	542	1020
347	543	1018
348	545	1016
349	546	1014
350	547	1012
351	549	1011
352	550	1009
353	552	1007
354	553	1005
355	554	1003
356	556	1002
357	557	1000
358	559	998
359	560	997
360	562	995
361	563	993
362	565	991
363	566	990
364	568	988
365	569	986
366	570	984
367	572	983
368	573	981
369	575	979
370	576	977
371	578	976
372	579	974
373	581	972
374	582	970
375	583	969
376	585	967
377	586	965
378	588	963
379	589	961
380	591	960
381	592	958
382	593	956
383	595	955
384	596	953
385	598	951
386	599	949
387	601	948
388	602	946
