iter	RMSE
0	1666.393945
1	1616.858494
2	1572.301988
3	1530.016198
4	1491.89785
5	1456.620298
6	1422.971926
7	1393.504007
8	1369.376773
9	1343.792121
10	1320.418106
11	1300.157399
12	1279.657652
13	1261.454499
14	1245.812875
15	1231.305672
16	1217.70697
17	1205.82582
18	1194.631839
19	1184.408646
20	1175.235076
21	1167.066421
22	1159.605163
23	1152.445885
24	1146.529723
25	1140.905105
26	1135.587406
27	1130.650474
28	1126.745402
29	1122.429558
30	1118.849785
31	1115.424878
32	1112.480917
33	1110.040219
34	1107.515022
35	1105.368667
36	1103.017795
37	1101.028346
38	1099.797889
39	1098.397419
40	1096.791155
41	1095.433709
42	1094.248114
43	1093.29522
44	1092.309464
45	1091.353061
46	1090.394119
47	1089.56535
48	1088.854762
49	1087.988903
50	1087.09601
51	1086.267959
52	1085.503194
53	1084.790622
54	1084.129873
55	1083.444162
56	1082.628213
57	1082.021986
58	1081.466459
59	1081.208971
60	1080.683227
61	1080.541518
62	1079.941019
63	1079.631811
64	1078.813463
65	1078.213984
66	1077.555332
67	1077.079529
68	1076.862315
69	1076.386602
70	1075.67838
71	1075.299576
72	1075.082243
73	1074.54234
74	1074.141261
75	1074.018065
76	1073.705693
77	1073.57636
78	1073.079972
79	1072.691964
80	1072.270444
81	1071.816391
82	1071.479121
83	1070.858953
84	1070.697212
85	1070.481758
86	1069.941624
87	1069.544395
88	1069.157556
89	1068.672239
90	1068.034603
91	1067.672012
92	1067.366429
93	1066.949757
94	1066.201492
95	1065.863857
96	1065.627983
97	1065.400063
98	1065.247283
99	1064.799713
100	1064.270322
101	1063.682206
102	1063.210164
103	1062.951239
104	1062.257133
105	1061.872026
106	1061.650069
107	1061.210571
108	1060.789651
109	1060.507738
110	1060.065931
111	1059.691314
112	1059.446538
113	1059.286995
114	1059.255572
115	1058.904082
116	1058.599751
117	1058.462974
118	1058.3541
119	1058.010115
120	1057.783824
121	1057.537105
122	1057.188004
123	1056.896769
124	1056.732557
125	1056.658811
126	1056.288366
127	1056.109422
128	1055.77659
129	1055.590646
130	1055.35439
131	1055.146374
132	1055.0066
133	1054.46878
134	1054.272894
135	1053.936746
136	1053.353133
137	1052.998498
138	1052.434497
139	1052.003352
140	1051.544287
141	1051.375426
142	1051.068976
143	1050.789303
144	1050.247769
145	1049.66863
146	1049.281468
147	1048.69091
148	1048.290718
149	1047.983902
150	1047.572296
151	1047.498687
152	1047.185355
153	1046.826286
154	1046.437774
155	1046.063519
156	1045.822754
157	1045.640724
158	1045.26231
159	1044.926846
160	1044.731469
161	1044.400468
162	1044.114273
163	1043.4622
164	1042.969591
165	1042.543075
166	1042.386787
167	1041.824962
168	1041.22948
169	1040.805915
170	1040.388258
171	1040.085067
172	1039.556921
173	1039.159676
174	1038.892306
175	1038.713149
176	1038.321003
177	1037.913663
178	1037.661751
179	1037.158529
180	1036.723695
181	1036.405233
182	1035.940345
183	1035.522226
184	1035.164892
185	1034.76091
186	1034.485072
187	1034.106484
188	1033.892397
189	1033.526786
190	1033.290256
191	1033.000448
192	1032.589372
193	1032.11115
194	1031.997041
195	1031.672593
196	1031.266771
197	1030.766958
198	1030.368687
199	1029.912636
200	1029.642652
201	1029.177377
202	1028.966515
203	1028.588792
204	1028.266145
205	1027.717026
206	1027.31951
207	1027.036459
208	1026.624526
209	1026.306668
210	1025.9711
211	1025.613708
212	1025.40402
213	1025.005201
214	1024.523714
215	1024.175816
216	1023.665307
217	1023.257847
218	1022.927719
219	1022.752179
220	1022.535315
221	1022.241168
222	1021.905929
223	1021.448567
224	1020.869253
225	1020.497094
226	1020.022741
227	1019.37699
228	1019.039662
229	1018.498321
230	1018.128916
231	1017.876744
232	1017.457777
233	1017.251262
234	1017.020026
235	1016.798126
236	1016.44621
237	1016.064574
238	1015.58982
239	1015.367142
240	1014.940179
241	1014.54695
242	1014.345769
243	1014.167206
244	1013.749208
245	1013.476381
246	1013.191889
247	1012.731513
248	1012.426759
249	1011.939591
250	1011.741559
251	1011.317289
252	1011.079668
253	1010.849568
254	1010.520127
255	1010.425464
256	1010.302386
257	1009.860428
258	1009.703396
259	1009.490822
260	1008.911926
261	1008.590673
262	1008.279407
263	1007.953193
264	1007.587371
265	1007.187974
266	1006.789131
267	1006.474953
268	1006.08227
269	1005.726496
270	1005.479281
271	1005.223187
272	1004.915259
273	1004.735969
274	1004.297032
275	1003.681725
276	1003.225174
277	1003.053441
278	1002.803308
279	1002.420711
280	1002.203122
281	1001.678019
282	1001.442678
283	1001.192972
284	1000.769372
285	1000.497287
286	1000.236557
287	999.981528
288	999.5085665
289	999.1968304
290	998.8102843
291	998.4799364
292	997.9699419
293	997.7954605
294	997.4690472
295	997.1041863
296	996.9591554
297	996.6258291
298	996.2963775
299	996.0652812
300	995.9103132
301	995.5219039
302	995.266429
303	994.9937756
304	994.7223001
305	994.5017225
306	994.2911355
307	993.9755983
308	993.7712871
309	993.4153601
310	993.2164094
311	992.9471635
312	992.5697733
313	992.387433
314	991.8580831
315	991.6526406
316	991.4133412
317	991.1089332
318	990.9129835
319	990.6105231
320	990.3552482
321	990.0752333
322	989.8980447
323	989.5728831
324	989.2015137
325	988.7215251
326	988.2352774
327	987.8804822
328	987.5620205
329	987.4070889
330	987.1595913
331	986.7873449
332	986.3584577
333	986.0961807
334	985.8384763
335	985.4435995
336	985.090357
337	984.7453123
338	984.4926603
339	984.1563642
340	983.8386974
341	983.6796142
