iter	Passed	Remaining
0	49	49897
1	51	25865
2	53	17799
3	55	13775
4	57	11344
5	58	9713
6	60	8534
7	61	7641
8	62	6923
9	64	6392
10	66	5955
11	67	5588
12	69	5279
13	71	5013
14	72	4787
15	74	4585
16	76	4403
17	77	4241
18	79	4094
19	80	3968
20	82	3855
21	84	3752
22	86	3664
23	88	3584
24	90	3512
25	92	3460
26	93	3381
27	95	3311
28	96	3245
29	98	3184
30	100	3126
31	101	3075
32	103	3029
33	105	2984
34	106	2943
35	108	2902
36	109	2861
37	111	2822
38	113	2785
39	114	2749
40	116	2717
41	117	2686
42	119	2655
43	120	2625
44	122	2596
45	123	2568
46	125	2541
47	126	2514
48	128	2488
49	129	2464
50	131	2439
51	132	2419
52	134	2401
53	136	2382
54	137	2363
55	138	2342
56	140	2320
57	141	2302
58	143	2282
59	144	2259
60	145	2240
61	146	2212
62	147	2194
63	149	2179
64	150	2165
65	151	2149
66	153	2136
67	154	2122
68	156	2108
69	157	2094
70	159	2081
71	160	2068
72	161	2056
73	163	2043
74	164	2032
75	165	2013
76	167	2002
77	168	1993
78	170	1983
79	171	1973
80	173	1962
81	174	1952
82	175	1942
83	177	1931
84	178	1921
85	179	1912
86	181	1903
87	182	1896
88	184	1887
89	185	1880
90	187	1872
91	188	1864
92	190	1855
93	191	1847
94	193	1838
95	194	1831
96	195	1823
97	197	1817
98	198	1810
99	200	1806
100	202	1799
101	203	1792
102	205	1786
103	206	1779
104	208	1773
105	209	1767
106	211	1762
107	213	1766
108	215	1764
109	217	1759
110	219	1761
111	221	1758
112	223	1752
113	224	1746
114	225	1736
115	227	1732
116	229	1729
117	230	1725
118	232	1722
119	234	1717
120	235	1711
121	236	1705
122	238	1698
123	239	1692
124	241	1689
125	242	1680
126	243	1676
127	245	1670
128	246	1665
129	248	1660
130	249	1657
131	251	1651
132	252	1645
133	253	1640
134	255	1635
135	256	1630
136	257	1624
137	259	1619
138	260	1616
139	262	1611
140	263	1607
141	265	1604
142	266	1599
143	268	1595
144	269	1590
145	271	1587
146	272	1582
147	274	1578
148	275	1573
149	276	1569
150	278	1564
151	279	1558
152	280	1555
153	282	1551
154	283	1548
155	285	1545
156	287	1541
157	288	1536
158	289	1532
159	291	1528
160	292	1523
161	293	1519
162	294	1514
163	297	1514
164	299	1517
165	304	1528
166	307	1532
167	311	1543
168	314	1544
169	318	1554
170	320	1554
171	324	1561
172	326	1562
173	329	1564
174	331	1562
175	333	1562
176	336	1563
177	337	1560
178	340	1560
179	341	1557
180	343	1553
181	344	1549
182	346	1545
183	347	1542
184	349	1538
185	350	1535
186	353	1536
187	355	1533
188	356	1530
189	358	1526
190	359	1522
191	361	1519
192	362	1515
193	363	1511
194	365	1507
195	366	1504
196	368	1501
197	369	1497
198	371	1494
199	372	1491
200	374	1487
201	375	1484
202	377	1481
203	378	1478
204	380	1474
205	381	1471
206	383	1467
207	384	1464
208	386	1461
209	387	1457
210	388	1454
211	390	1450
212	391	1447
213	393	1445
214	394	1442
215	396	1439
216	397	1435
217	399	1432
218	400	1428
219	402	1425
220	403	1422
221	405	1419
222	406	1417
223	408	1414
224	410	1412
225	411	1409
226	412	1406
227	414	1403
228	415	1400
229	417	1397
230	419	1395
231	420	1393
232	422	1391
233	424	1389
234	426	1387
235	427	1384
236	429	1382
237	430	1379
238	432	1376
239	433	1373
240	435	1370
241	436	1367
242	438	1365
243	440	1363
244	441	1361
245	443	1359
246	445	1356
247	446	1353
248	447	1351
249	449	1347
250	450	1344
251	452	1341
252	453	1339
253	455	1336
254	457	1335
255	458	1332
256	459	1329
257	461	1327
258	462	1324
259	464	1321
260	465	1318
261	467	1315
262	468	1313
263	470	1311
264	472	1309
265	473	1307
266	475	1304
267	476	1302
268	478	1300
269	479	1297
270	481	1294
271	482	1291
272	483	1288
273	485	1286
274	487	1283
275	488	1281
276	490	1279
277	491	1276
278	493	1274
279	494	1271
280	496	1269
281	497	1266
282	498	1263
283	500	1260
284	502	1261
285	504	1259
286	506	1257
287	507	1255
288	509	1252
289	510	1250
290	512	1247
291	513	1245
292	515	1243
293	517	1242
294	518	1239
295	520	1237
296	521	1235
297	523	1233
298	525	1231
299	526	1228
300	527	1225
301	529	1222
302	530	1220
303	532	1218
304	533	1216
305	535	1213
306	536	1211
307	538	1209
308	539	1207
309	541	1204
310	542	1202
311	544	1199
312	545	1197
313	547	1195
314	548	1193
315	550	1191
316	551	1189
317	553	1187
318	555	1184
319	556	1182
320	557	1180
321	559	1177
322	560	1175
323	562	1173
324	563	1170
325	565	1169
326	567	1167
327	568	1165
328	570	1163
329	571	1160
330	573	1158
331	574	1156
332	575	1153
333	577	1151
334	578	1148
335	580	1147
336	582	1145
337	583	1142
338	585	1140
339	586	1138
340	588	1136
341	589	1134
342	590	1131
343	592	1129
344	593	1126
345	594	1124
346	596	1122
347	598	1120
348	600	1119
349	601	1117
350	603	1115
351	604	1113
352	606	1111
353	607	1109
354	609	1106
355	610	1104
356	612	1102
357	613	1100
358	615	1099
359	617	1097
360	618	1094
361	619	1092
362	621	1090
363	622	1087
364	624	1085
365	625	1083
366	626	1081
367	628	1079
368	630	1077
369	631	1075
370	633	1074
371	634	1071
372	636	1069
373	637	1067
374	639	1065
375	640	1063
376	642	1061
377	644	1059
378	645	1057
379	647	1056
380	648	1053
381	650	1051
382	651	1049
383	652	1047
384	654	1045
385	656	1043
386	657	1041
387	658	1039
388	660	1037
389	662	1036
390	663	1034
391	665	1032
392	667	1030
393	669	1029
394	670	1027
395	672	1025
396	673	1023
397	675	1021
398	677	1019
399	678	1018
400	680	1016
401	681	1014
402	683	1012
403	684	1010
404	686	1008
405	687	1005
406	688	1003
407	690	1001
408	692	1000
409	694	998
410	695	996
411	697	994
412	698	992
413	700	990
414	701	988
415	703	987
416	704	984
417	705	982
418	707	981
419	709	979
420	710	977
421	712	975
422	713	973
423	715	971
424	716	969
425	718	967
426	719	965
427	720	963
428	722	961
429	723	959
430	725	957
431	726	955
432	728	953
433	730	952
434	731	949
435	732	947
436	734	945
437	735	943
438	736	941
439	738	939
440	739	937
441	741	935
442	742	934
443	744	932
444	746	930
445	747	928
446	749	926
447	750	924
448	752	923
449	753	921
450	755	919
451	757	917
452	758	916
453	760	914
454	762	912
455	763	910
456	764	908
457	766	906
458	767	904
459	769	902
460	770	901
461	772	899
462	774	898
463	776	896
464	778	895
465	780	894
466	781	892
467	783	890
468	784	888
469	786	886
470	788	885
471	789	883
472	791	881
473	793	880
474	794	878
475	796	876
476	797	874
477	798	872
478	800	870
479	801	868
480	803	866
481	805	865
482	806	863
483	808	861
484	809	859
485	810	857
486	812	855
487	813	853
488	814	851
489	816	849
490	817	847
491	819	845
492	820	844
493	822	842
494	824	840
495	825	839
496	827	837
497	828	835
498	830	833
499	831	831
500	832	829
501	834	827
502	836	826
503	837	824
504	839	822
505	840	820
506	842	818
507	843	817
508	845	815
509	846	813
510	848	811
511	849	809
512	851	808
513	853	806
514	854	805
515	856	803
516	857	801
517	859	799
518	860	797
519	862	795
520	863	794
521	865	792
522	867	791
523	869	789
524	870	787
525	872	786
526	873	784
527	875	782
528	876	780
529	878	778
530	879	776
531	882	775
532	883	774
533	885	772
534	887	771
535	888	769
536	890	767
537	891	765
538	893	763
539	894	761
540	895	760
541	897	758
542	899	756
543	900	755
544	902	753
545	903	751
546	905	749
547	906	747
548	908	746
549	909	744
550	911	742
551	912	740
552	914	738
553	916	737
554	917	735
555	919	734
556	921	732
557	922	730
558	924	728
559	925	727
560	926	725
561	928	723
562	929	721
563	931	720
564	933	718
565	934	716
566	936	714
567	937	712
568	938	711
569	940	709
570	941	707
571	943	705
572	944	704
573	946	702
574	947	700
575	949	698
576	950	697
577	952	695
578	953	693
579	955	691
580	956	690
581	958	688
582	959	686
583	961	684
584	963	683
585	964	681
586	966	679
587	967	678
588	969	676
589	970	674
590	972	672
591	973	670
592	974	669
593	976	667
594	977	665
595	979	663
596	980	662
597	982	660
598	984	658
599	985	657
600	986	655
601	988	653
602	989	651
603	990	649
604	992	647
605	994	646
606	995	644
607	997	643
608	998	641
609	1000	639
610	1001	637
611	1003	636
612	1004	634
613	1006	632
614	1007	630
615	1009	629
616	1010	627
617	1012	625
618	1013	624
619	1015	622
620	1016	620
621	1018	618
622	1019	616
623	1020	615
624	1022	613
625	1023	611
626	1025	609
627	1027	608
628	1029	607
629	1030	605
630	1032	603
631	1033	601
632	1035	600
633	1036	598
634	1037	596
635	1039	594
636	1040	593
637	1042	591
638	1044	590
639	1046	588
640	1047	586
641	1048	584
642	1050	583
643	1051	581
644	1052	579
645	1054	577
646	1055	575
647	1057	574
648	1058	572
649	1060	571
650	1061	569
651	1063	567
652	1065	565
653	1066	564
654	1067	562
655	1069	560
656	1070	558
657	1072	557
658	1073	555
659	1075	554
660	1077	552
661	1078	550
662	1080	549
663	1081	547
664	1082	545
665	1084	543
666	1086	542
667	1087	540
668	1089	538
669	1091	537
670	1093	536
671	1094	534
672	1096	532
673	1097	530
674	1098	529
675	1100	527
676	1101	525
677	1102	523
678	1104	522
679	1106	520
680	1107	518
681	1109	517
682	1110	515
683	1112	513
684	1113	512
685	1114	510
686	1116	508
687	1117	506
688	1119	505
689	1120	503
690	1122	501
691	1123	500
692	1125	498
693	1127	496
694	1128	495
695	1129	493
696	1131	491
697	1132	490
698	1134	488
699	1135	486
700	1136	484
701	1138	483
702	1139	481
703	1141	479
704	1142	478
705	1144	476
706	1145	474
707	1147	473
708	1148	471
709	1149	469
710	1151	467
711	1153	466
712	1154	464
713	1156	463
714	1158	461
715	1159	459
716	1161	458
717	1162	456
718	1163	454
719	1165	453
720	1166	451
721	1168	450
722	1170	448
723	1171	446
724	1173	445
725	1174	443
726	1176	441
727	1177	440
728	1179	438
729	1180	436
730	1182	435
731	1183	433
732	1185	431
733	1186	430
734	1188	428
735	1190	426
736	1191	425
737	1192	423
738	1194	421
739	1196	420
740	1197	418
741	1198	416
742	1200	415
743	1202	413
744	1203	412
745	1205	410
746	1206	408
747	1208	407
748	1209	405
749	1211	403
750	1212	401
751	1213	400
752	1215	398
753	1216	397
754	1218	395
755	1220	393
756	1221	392
757	1223	390
758	1224	388
759	1225	387
760	1227	385
761	1228	383
762	1229	382
763	1231	380
764	1233	378
765	1234	377
766	1236	375
767	1237	373
768	1239	372
769	1240	370
770	1242	368
771	1243	367
772	1245	365
773	1246	363
774	1248	362
775	1249	360
776	1251	359
777	1252	357
778	1254	355
779	1255	354
780	1257	352
781	1258	350
782	1260	349
783	1261	347
784	1262	345
785	1264	344
786	1266	342
787	1267	341
788	1269	339
789	1271	337
790	1272	336
791	1273	334
792	1275	332
793	1276	331
794	1277	329
795	1279	327
796	1280	326
797	1282	324
798	1283	322
799	1285	321
800	1286	319
801	1288	318
802	1289	316
803	1291	314
804	1292	313
805	1294	311
806	1295	309
807	1297	308
808	1299	306
809	1300	305
810	1302	303
811	1303	301
812	1304	300
813	1306	298
814	1307	296
815	1308	295
816	1310	293
817	1311	291
818	1313	290
819	1314	288
820	1316	287
821	1317	285
822	1319	283
823	1321	282
824	1322	280
825	1323	278
826	1325	277
827	1326	275
828	1328	274
829	1330	272
830	1331	270
831	1333	269
832	1335	267
833	1336	266
834	1337	264
835	1339	262
836	1340	261
837	1342	259
838	1343	257
839	1345	256
840	1347	254
841	1348	253
842	1349	251
843	1351	249
844	1352	248
845	1354	246
846	1355	244
847	1356	243
848	1358	241
849	1359	239
850	1361	238
851	1362	236
852	1364	235
853	1365	233
854	1367	231
855	1368	230
856	1369	228
857	1371	226
858	1372	225
859	1374	223
860	1375	222
861	1377	220
862	1378	218
863	1380	217
864	1381	215
865	1382	213
866	1384	212
867	1385	210
868	1387	209
869	1388	207
870	1389	205
871	1391	204
872	1392	202
873	1394	201
874	1395	199
875	1397	197
876	1398	196
877	1400	194
878	1401	192
879	1402	191
880	1404	189
881	1405	188
882	1406	186
883	1408	184
884	1409	183
885	1411	181
886	1412	179
887	1414	178
888	1415	176
889	1416	175
890	1418	173
891	1419	171
892	1420	170
893	1422	168
894	1424	167
895	1425	165
896	1426	163
897	1428	162
898	1429	160
899	1431	159
900	1432	157
901	1434	155
902	1435	154
903	1436	152
904	1438	151
905	1440	149
906	1441	147
907	1443	146
908	1444	144
909	1446	143
910	1447	141
911	1449	139
912	1450	138
913	1451	136
914	1453	135
915	1455	133
916	1456	131
917	1458	130
918	1459	128
919	1461	127
920	1462	125
921	1463	123
922	1465	122
923	1466	120
924	1467	119
925	1469	117
926	1471	115
927	1473	114
928	1475	112
929	1476	111
930	1478	109
931	1480	108
932	1481	106
933	1483	104
934	1486	103
935	1488	101
936	1490	100
937	1493	98
938	1495	97
939	1504	96
940	1507	94
941	1512	93
942	1520	91
943	1522	90
944	1526	88
945	1528	87
946	1531	85
947	1535	84
948	1539	82
949	1544	81
950	1546	79
951	1548	78
952	1550	76
953	1552	74
954	1556	73
955	1557	71
956	1563	70
957	1564	68
958	1568	67
