Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type
9.3,0.016047301,249.8092,1999,3735.138,FDA15,Low Fat,Dairy,OUT049,Medium,Tier 1,Supermarket Type1
5.92,0.019278216,48.2692,2009,443.4228,DRC01,Regular,Soft Drinks,OUT018,Medium,Tier 3,Supermarket Type2
17.5,0.016760075,141.618,1999,2097.27,FDN15,Low Fat,Meat,OUT049,Medium,Tier 1,Supermarket Type1
19.2,0.0,182.095,1998,732.38,FDX07,Regular,Fruits and Vegetables,OUT010,Medium,Tier 3,Grocery Store
8.93,0.0,53.8614,1987,994.7052,NCD19,Low Fat,Household,OUT013,High,Tier 3,Supermarket Type1
10.395,0.0,51.4008,2009,556.6088,FDP36,Regular,Baking Goods,OUT018,Medium,Tier 3,Supermarket Type2
13.65,0.012741089,57.6588,1987,343.5528,FDO10,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1
12.857645184135976,0.127469857,107.7622,1985,4022.7636,FDP10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3
16.2,0.016687114,96.9726,2002,1076.5986,FDH17,Regular,Frozen Foods,OUT045,Medium,Tier 2,Supermarket Type1
19.2,0.09444959,187.8214,2007,4710.535,FDU28,Regular,Frozen Foods,OUT017,Medium,Tier 2,Supermarket Type1
11.8,0.0,45.5402,1999,1516.0266,FDY07,Low Fat,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1
18.5,0.045463773,144.1102,1997,2187.153,FDA03,Regular,Dairy,OUT046,Small,Tier 1,Supermarket Type1
15.1,0.1000135,145.4786,1999,1589.2646,FDX32,Regular,Fruits and Vegetables,OUT049,Medium,Tier 1,Supermarket Type1
17.6,0.047257328,119.6782,1997,2145.2076,FDS46,Regular,Snack Foods,OUT046,Small,Tier 1,Supermarket Type1
16.35,0.0680243,196.4426,1987,1977.426,FDF32,Low Fat,Fruits and Vegetables,OUT013,High,Tier 3,Supermarket Type1
9.0,0.069088961,56.3614,1997,1547.3192,FDP49,Regular,Breakfast,OUT046,Small,Tier 1,Supermarket Type1
11.8,0.008596051,115.3492,2009,1621.8888,NCB42,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2
9.0,0.069196376,54.3614,1999,718.3982,FDP49,Regular,Breakfast,OUT049,Medium,Tier 1,Supermarket Type1
12.857645184135976,0.034237682,113.2834,1985,2303.668,DRI11,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3
13.35,0.10249212,230.5352,2004,2748.4224,FDU02,Low Fat,Dairy,OUT035,Small,Tier 2,Supermarket Type1
18.85,0.138190277,250.8724,1987,3775.086,FDN22,Regular,Snack Foods,OUT013,High,Tier 3,Supermarket Type1
12.857645184135976,0.035399923,144.5444,1985,4064.0432,FDW12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3
14.6,0.025698134,196.5084,2004,1587.2672,NCB30,Low Fat,Household,OUT035,Small,Tier 2,Supermarket Type1
12.857645184135976,0.057556998,107.6938,1985,214.3876,FDC37,Low Fat,Baking Goods,OUT019,Small,Tier 1,Grocery Store
13.85,0.025896485,165.021,1997,4078.025,FDR28,Regular,Frozen Foods,OUT046,Small,Tier 1,Supermarket Type1
13.0,0.099887103,45.906,2007,838.908,NCD06,Low Fat,Household,OUT017,Medium,Tier 2,Supermarket Type1
7.645,0.066693437,42.3112,2004,1065.28,FDV10,Regular,Snack Foods,OUT035,Small,Tier 2,Supermarket Type1
11.65,0.019356132,39.1164,1987,308.9312,DRJ59,Low Fat,Hard Drinks,OUT013,High,Tier 3,Supermarket Type1
5.925,0.161466534,45.5086,1998,178.4344,FDE51,Regular,Dairy,OUT010,Medium,Tier 3,Grocery Store
12.857645184135976,0.072221801,43.6454,1985,125.8362,FDC14,Regular,Canned,OUT019,Small,Tier 1,Grocery Store
19.25,0.170348551,55.7956,1998,163.7868,FDV38,Low Fat,Dairy,OUT010,Medium,Tier 3,Grocery Store
18.6,0.080829372,96.4436,2009,2741.7644,NCS17,Low Fat,Health and Hygiene,OUT018,Medium,Tier 3,Supermarket Type2
